I17PERIOD;I17TIMEST;I17SOLO;I17FUNCSYSTEM;I17PORTID;I17CLASSID;I17CFTYPE;I17CFID;I17CFREV;I17CFDATE1;I17CFDATE2;I17VALUE;I17CURR;I17FUNCTVALUE;I17FUNCTCURR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13681/1;;Z10R;CZR_DEF_20220427185913_139;;20211231;20211231;-61229,67;EUR;-61229,67;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_12795/1;;Y20R;CZR_DEF_20220427185913_14;;20211231;20211231;-742313,67;EUR;-742313,67;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13681/1;;Z20P;CZR_DEF_20220427185913_140;;20211231;20211231;68403,69;EUR;68403,69;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13697/1;;Z10R;CZR_DEF_20220427185913_141;;20211231;20211231;-105103,26;EUR;-105103,26;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13697/1;;Z20P;CZR_DEF_20220427185913_142;;20211231;20211231;2560,00;EUR;2560,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13755/1;;Z20P;CZR_DEF_20220427185913_143;;20211231;20211231;60013,00;EUR;60013,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13759/1;;Z10R;CZR_DEF_20220427185913_144;;20211231;20211231;-823,07;EUR;-823,07;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13759/1;;Z20P;CZR_DEF_20220427185913_145;;20211231;20211231;1444,81;EUR;1444,81;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13777/1;;Z10R;CZR_DEF_20220427185913_146;;20211231;20211231;-379,00;EUR;-379,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13777/1;;Z20P;CZR_DEF_20220427185913_147;;20211231;20211231;41647,19;EUR;41647,19;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13779/1;;Z10R;CZR_DEF_20220427185913_148;;20211231;20211231;-995,36;EUR;-995,36;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13780/1;;Z10R;CZR_DEF_20220427185913_149;;20211231;20211231;-503,02;EUR;-503,02;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_12807/1;;Y10P;CZR_DEF_20220427185913_15;;20211231;20211231;27172,15;EUR;27172,15;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13782/1;;Z10R;CZR_DEF_20220427185913_150;;20211231;20211231;-45245,39;EUR;-45245,39;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13785/1;;Z10R;CZR_DEF_20220427185913_151;;20211231;20211231;-5917,96;EUR;-5917,96;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13785/1;;Z20P;CZR_DEF_20220427185913_152;;20211231;20211231;50,00;EUR;50,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13808/1;;Z10R;CZR_DEF_20220427185913_153;;20211231;20211231;-6327,56;EUR;-6327,56;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13808/1;;Z20P;CZR_DEF_20220427185913_154;;20211231;20211231;8817,68;EUR;8817,68;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13825/1;;Z10R;CZR_DEF_20220427185913_155;;20211231;20211231;-57745,78;EUR;-57745,78;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13825/1;;Z20P;CZR_DEF_20220427185913_156;;20211231;20211231;26466,33;EUR;26466,33;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13884/1;;Z10R;CZR_DEF_20220427185913_157;;20211231;20211231;-162823,70;EUR;-162823,70;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13884/1;;Z20P;CZR_DEF_20220427185913_158;;20211231;20211231;124740,00;EUR;124740,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_13884/1;;Z30P;CZR_DEF_20220427185913_159;;20211231;20211231;29308,30;EUR;29308,30;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_12807/1;;Y20R;CZR_DEF_20220427185913_16;;20211231;20211231;-32356,20;EUR;-32356,20;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_14214/1;;Z10R;CZR_DEF_20220427185913_160;;20211231;20211231;-124007,32;EUR;-124007,32;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_14214/1;;Z20P;CZR_DEF_20220427185913_161;;20211231;20211231;60369,08;EUR;60369,08;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_14215/1;;Z10R;CZR_DEF_20220427185913_162;;20211231;20211231;-116080,63;EUR;-116080,63;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_14215/1;;Z20P;CZR_DEF_20220427185913_163;;20211231;20211231;48760,91;EUR;48760,91;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_14216/1;;Z10R;CZR_DEF_20220427185913_164;;20211231;20211231;-43559,95;EUR;-43559,95;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_14216/1;;Z20P;CZR_DEF_20220427185913_165;;20211231;20211231;31035,98;EUR;31035,98;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_14241/1;;Z10R;CZR_DEF_20220427185913_166;;20211231;20211231;-83713,00;HRK;-11130,42;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_14241/1;;Z20P;CZR_DEF_20220427185913_167;;20211231;20211231;9509,08;HRK;1264,32;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_14241/2;;Z10R;CZR_DEF_20220427185913_168;;20211231;20211231;-2267756,58;HRK;-301519,27;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_14241/2;;Z20P;CZR_DEF_20220427185913_169;;20211231;20211231;145035,84;HRK;19283,86;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRH_L510_2021_NO_13206/1;;Y10P;CZR_DEF_20220427185913_17;;20211231;20211231;105481,00;EUR;105481,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_14284/1;;Z10R;CZR_DEF_20220427185913_170;;20211231;20211231;-15750,00;EUR;-15750,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_14284/1;;Z20P;CZR_DEF_20220427185913_171;;20211231;20211231;14967,00;EUR;14967,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_14311/1;;Z10R;CZR_DEF_20220427185913_172;;20211231;20211231;-288840,40;CHF;-279586,10;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_14311/1;;Z20P;CZR_DEF_20220427185913_173;;20211231;20211231;128218,08;CHF;124110,04;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_14357/1;;Z10R;CZR_DEF_20220427185913_174;;20211231;20211231;-331250,00;USD;-292468,66;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_14357/1;;Z20P;CZR_DEF_20220427185913_175;;20211231;20211231;248437,50;USD;219351,49;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_NO_14357/1;;Z30P;CZR_DEF_20220427185913_176;;20211231;20211231;16562,50;USD;14623,43;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_ON_10230/1;;Z10R;CZR_DEF_20220427185913_177;;20211231;20211231;-5013,00;EUR;-5013,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_ON_10230/1;;Z20P;CZR_DEF_20220427185913_178;;20211231;20211231;7467,00;EUR;7467,00;EUR
2021012;20220427185913;CZR;CZR_DEF;CZR_ACP_LRI_L500_2021_ON_10376/1;;Z10R;CZR_DEF_20220427185913_179;;20211231;20211231;-4129,81;BGN;-2111,57;EUR
